2020-12-22 17:56:38.446 +00:00 [INF] Found open bucket 170
2020-12-22 17:56:38.982 +00:00 [INF] Found open bucket sipp
2020-12-22 17:56:39.190 +00:00 [INF] Found open bucket freeb
2020-12-22 17:56:39.418 +00:00 [INF] Found open bucket stun
2020-12-22 17:56:39.594 +00:00 [INF] Found open bucket bigbrother
2020-12-22 17:56:40.090 +00:00 [INF] Found open bucket 147
2020-12-22 17:56:40.983 +00:00 [INF] Found open bucket pressroom
2020-12-22 17:56:43.376 +00:00 [INF] Found open bucket 169
2020-12-22 17:56:44.076 +00:00 [INF] Found open bucket versions
2020-12-22 17:56:44.471 +00:00 [INF] Found open bucket 138
2020-12-22 17:56:45.602 +00:00 [INF] Found open bucket reuters
2020-12-22 17:56:47.156 +00:00 [INF] Found open bucket 2743
2020-12-22 17:56:50.052 +00:00 [INF] Found open bucket 144
2020-12-22 17:56:50.197 +00:00 [INF] Found open bucket shots
2020-12-22 17:56:50.629 +00:00 [INF] Found open bucket ede
2020-12-22 17:56:53.360 +00:00 [INF] Found open bucket 8536
2020-12-22 17:56:54.023 +00:00 [INF] Found open bucket fandom
2020-12-22 17:56:54.740 +00:00 [INF] Found open bucket tulip
2020-12-22 17:56:55.429 +00:00 [INF] Found open bucket balsa
2020-12-22 17:56:55.758 +00:00 [INF] Found open bucket 5936
2020-12-22 17:56:56.717 +00:00 [INF] Found open bucket spe
2020-12-22 17:56:59.304 +00:00 [INF] Found open bucket 6063
2020-12-22 17:57:03.462 +00:00 [INF] Found open bucket opinions
2020-12-22 17:57:03.710 +00:00 [INF] Found open bucket venezia
2020-12-22 17:57:04.731 +00:00 [INF] Found open bucket lilypond
2020-12-22 17:57:05.084 +00:00 [INF] Found open bucket myphotogallery
2020-12-22 17:57:05.900 +00:00 [INF] Found open bucket bradenton
2020-12-22 17:57:06.356 +00:00 [INF] Found open bucket 119
2020-12-22 17:57:07.419 +00:00 [INF] Found open bucket 3118
2020-12-22 17:57:07.857 +00:00 [INF] Found open bucket tfw
2020-12-22 17:57:10.719 +00:00 [INF] Found open bucket utils
2020-12-22 17:57:13.882 +00:00 [INF] Found open bucket ticket
2020-12-22 17:57:15.581 +00:00 [INF] Found open bucket extreme
2020-12-22 17:57:16.118 +00:00 [INF] Found open bucket images2
2020-12-22 17:57:21.431 +00:00 [INF] Found open bucket release10
2020-12-22 17:57:22.142 +00:00 [INF] Found open bucket euphoria
2020-12-22 17:57:27.282 +00:00 [INF] Found open bucket avp
2020-12-22 17:57:28.441 +00:00 [INF] Found open bucket fpc
2020-12-22 17:57:28.540 +00:00 [INF] Found open bucket flw
2020-12-22 17:57:31.603 +00:00 [INF] Found open bucket videomaker
2020-12-22 17:57:31.739 +00:00 [INF] Found open bucket persons
2020-12-22 17:57:32.217 +00:00 [INF] Found open bucket lightning
2020-12-22 17:57:34.475 +00:00 [INF] Found open bucket upcase
2020-12-22 17:57:36.501 +00:00 [INF] Found open bucket berkeleydb
2020-12-22 17:57:44.064 +00:00 [INF] Found open bucket uic
2020-12-22 17:57:45.323 +00:00 [INF] Found open bucket 6109
2020-12-22 17:57:46.342 +00:00 [INF] Found open bucket 1791
2020-12-22 17:57:47.630 +00:00 [INF] Found open bucket 9351
2020-12-22 17:57:47.899 +00:00 [INF] Found open bucket 52688
2020-12-22 17:57:48.376 +00:00 [INF] Found open bucket securemedia
2020-12-22 17:57:50.243 +00:00 [INF] Found open bucket bbla
2020-12-22 17:57:51.058 +00:00 [INF] Found open bucket 1605
2020-12-22 17:57:52.240 +00:00 [INF] Found open bucket gdmap
2020-12-22 17:57:52.248 +00:00 [INF] Found open bucket redfoot
2020-12-22 17:57:53.801 +00:00 [INF] Found open bucket smarth
2020-12-22 17:57:57.109 +00:00 [INF] Found open bucket peers
2020-12-22 17:57:57.468 +00:00 [INF] Found open bucket sec
2020-12-22 17:57:59.761 +00:00 [INF] Found open bucket assignments
2020-12-22 17:58:00.699 +00:00 [INF] Found open bucket sander
2020-12-22 17:58:02.908 +00:00 [INF] Found open bucket pcmag
2020-12-22 17:58:04.502 +00:00 [INF] Found open bucket zing
2020-12-22 17:58:06.215 +00:00 [INF] Found open bucket rants
2020-12-22 17:58:09.437 +00:00 [INF] Found open bucket gfeed
2020-12-22 17:58:10.498 +00:00 [FTL] The operation has timed out.
System.Net.WebException: The operation has timed out.
   at System.Net.HttpWebRequest.GetResponse()
   at System.Net.WebClient.GetWebResponse(WebRequest request)
   at System.Net.WebClient.OpenRead(Uri address)
   at Janda.CTF.SANS.HolidayHack.S3.<>c__DisplayClass4_0.<Run>b__1(String word) in C:\Users\Matt\Source\Repos\Janda\CTFs\Janda.CTF.SANS.HolidayHack\src\December2020\Challenges\Amazon\S3.cs:line 44
2020-12-22 17:58:10.513 +00:00 [FTL] The operation has timed out.
System.Net.WebException: The operation has timed out.
   at System.Net.HttpWebRequest.GetResponse()
   at System.Net.WebClient.GetWebResponse(WebRequest request)
   at System.Net.WebClient.OpenRead(Uri address)
   at Janda.CTF.SANS.HolidayHack.S3.<>c__DisplayClass4_0.<Run>b__1(String word) in C:\Users\Matt\Source\Repos\Janda\CTFs\Janda.CTF.SANS.HolidayHack\src\December2020\Challenges\Amazon\S3.cs:line 44
2020-12-22 17:58:10.898 +00:00 [INF] Found open bucket nitrogen
2020-12-22 17:58:10.910 +00:00 [INF] Found open bucket newreviews
2020-12-22 17:58:11.735 +00:00 [INF] Found open bucket rcm
2020-12-22 17:58:11.827 +00:00 [INF] Found open bucket crux
2020-12-22 17:58:18.233 +00:00 [INF] Found open bucket bounties
2020-12-22 17:58:18.968 +00:00 [INF] Found open bucket specialreports
2020-12-22 17:58:19.934 +00:00 [INF] Found open bucket shapes
2020-12-22 17:58:20.063 +00:00 [INF] Found open bucket 460
2020-12-22 17:58:20.275 +00:00 [INF] Found open bucket washingtonpost
2020-12-22 17:58:21.661 +00:00 [INF] Found open bucket sipsak
2020-12-22 17:58:22.329 +00:00 [INF] Found open bucket mailsteward
2020-12-22 17:58:22.405 +00:00 [INF] Found open bucket ccd
2020-12-22 17:58:23.040 +00:00 [INF] Found open bucket manik
2020-12-22 17:58:26.076 +00:00 [INF] Found open bucket streamtuner
2020-12-22 17:58:30.424 +00:00 [INF] Found open bucket fuse
2020-12-22 17:58:32.735 +00:00 [INF] Found open bucket glv
2020-12-22 17:58:36.441 +00:00 [INF] Found open bucket credit
2020-12-22 17:58:38.096 +00:00 [INF] Found open bucket gregw
2020-12-22 17:58:39.337 +00:00 [INF] Found open bucket ptech
2020-12-22 17:58:39.854 +00:00 [INF] Found open bucket sentinel
2020-12-22 17:58:40.916 +00:00 [INF] Found open bucket tinc
2020-12-22 17:58:46.330 +00:00 [INF] Found open bucket locales
2020-12-22 17:58:50.694 +00:00 [INF] Found open bucket calculators
2020-12-22 17:58:52.240 +00:00 [INF] Found open bucket gfm
2020-12-22 17:58:58.438 +00:00 [INF] Found open bucket pluk
2020-12-22 17:59:00.152 +00:00 [INF] Found open bucket handouts
2020-12-22 17:59:02.997 +00:00 [INF] Found open bucket simplex
2020-12-22 17:59:04.760 +00:00 [INF] Found open bucket saas
2020-12-22 17:59:05.012 +00:00 [INF] Found open bucket nui
2020-12-22 17:59:05.425 +00:00 [INF] Found open bucket musings
2020-12-22 17:59:06.564 +00:00 [INF] Found open bucket mwt
2020-12-22 17:59:07.813 +00:00 [INF] Found open bucket spu
2020-12-22 17:59:07.854 +00:00 [INF] Found open bucket beagle
2020-12-22 17:59:08.288 +00:00 [INF] Found open bucket inc
2020-12-22 17:59:09.313 +00:00 [INF] Found open bucket excerpts
2020-12-22 17:59:12.557 +00:00 [INF] Found open bucket soap
2020-12-22 17:59:12.924 +00:00 [INF] Found open bucket lifestyles
2020-12-22 17:59:14.489 +00:00 [FTL] The operation has timed out.
